,db_id,db_name,dtype,ctype,country,path,group,desc,n_mel,source
0,0,jama,kern,Folk,Jamaica,Jamaica/folk,Africa,Songs and ballads from Jamaica,57,McBride
1,1,siou,kern,Folk,United States of America,Native_American/Densmore/sioux,NatAm,Songs and ballads from the Sioux people,245,Densmore
2,2,pawn,kern,Folk,United States of America,Native_American/Densmore/pawnee,NatAm,Songs and ballads from the Pawnee people,86,Densmore
4,4,bach,kern,Art,Germany,Staff/bach,Europe,Bach chorales,370,KernScores
5,5,nova,kern,Folk,Canada,European/nova_scotia,Europe,Songs and ballads from Nova Scotia Canada.,152,KernScores
6,6,mrtf,kern,Folk,Netherlands,European/Meertens/MTC-FS-1.0/krn,Europe,Meertens folk songs.,4120,Meertens
7,7,mrti,kern,Folk,Netherlands,European/Meertens/MTC-INST-1.0/krn,Europe,Meertens instrumental folk songs.,2367,Meertens
8,8,poli,kern,Folk,Poland,European/polish,Europe,Songs and ballads from Poland,900,KernScores
9,9,lux,kern,Folk,Luxembourg,European/lux,Europe,Songs and ballads from Luxembourg,549,KernScores
10,10,lorr,kern,Folk,France,European/lorraine,Europe,Songs and ballads from Lorraine,317,KernScores
11,11,friu,kern,Folk,Italy,European/friuli,Europe,Songs and ballads from Friuli,80,KernScores
12,12,irel,kern,Folk,Ireland,European/ireland,Europe,Songs and ballads from Ireland,62,KernScores
13,13,chil,kern,Folk,England,European/child,Europe,Child ballads from England,38,KernScores
14,14,deut,kern,Folk,Germany,European/deutscher_lieder,Europe,Songs and ballads from Germany,201,KernScores
15,15,kirc,kern,Folk,Germany,European/kirchen_lieder,Europe,German church songs,1708,KernScores
16,16,czec,kern,Folk,Czechia,Essen/europa/czech,Europe,Czech folk songs from the Essen Folk Song Collection.,43,Essen
17,17,magy,kern,Folk,Hungary,Essen/europa/magyar,Europe,Hungarian folk songs from the Essen Folk Song Collection.,45,Essen
18,18,nede,kern,Folk,Netherlands,Essen/europa/nederlan,Europe,Dutch folk songs from the Essen Folk Song Collection.,85,Essen
19,19,elsa,kern,Folk,France,Essen/europa/elsass,Europe,Alsatian folk songs from the Essen Folk Song Collection.,91,Essen
20,20,jugo,kern,Folk,Yugoslavia,Essen/europa/jugoslav,Europe,Yugoslavian folk songs from the Essen Folk Song Collection.,115,Essen
21,21,schw,kern,Folk,Switzerland,Essen/europa/schweiz,Europe,Swiss folk songs from the Essen Folk Song Collection.,93,Essen
22,22,oest,kern,Folk,Austria,Essen/europa/oesterrh,Europe,Austrian folk songs from the Essen Folk Song Collection.,104,Essen
